City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,22.47,84,96,4.27,US,1724024882
1,huayacocotla,20.55,-98.4833,16.26,85,80,2.39,MX,1724025171
2,namibe,-15.1961,12.1522,16.87,86,10,2.15,AO,1724025172
3,yellowknife,62.456,-114.3525,21.34,60,75,4.12,CA,1724025173
4,zaozersk,69.4005,32.4476,13.96,66,59,2.53,RU,1724025174
5,badger,64.8,-147.5333,23.95,58,20,4.12,US,1724025175
6,port-aux-francais,-49.35,70.2167,2.53,87,81,14.31,TF,1724025177
7,la'ie,21.6477,-157.9253,30.98,72,18,3.58,US,1724025178
8,waitangi,-43.9535,-176.5597,10.46,99,100,3.13,NZ,1724025179
9,leua,48.2156,18.6071,20.71,79,45,2.59,SK,1724025180
10,suva,-18.1416,178.4415,27.71,74,40,4.63,FJ,1724025181
11,grytviken,-54.2811,-36.5092,-1.23,91,94,6.65,GS,1724025182
12,adamstown,-25.066,-130.1015,18.3,64,80,6.17,PN,1724025184
13,bartica,6.4,-58.6167,24.27,94,42,1.72,GY,1724025185
14,challapata,-18.9,-66.7667,12.09,29,2,2.25,BO,1724025186
15,georgetown,5.4112,100.3354,25.96,94,20,1.03,MY,1724025187
16,olonkinbyen,70.9221,-8.7187,5.09,96,100,6.04,SJ,1724025188
17,babolsar,36.7025,52.6576,25.46,67,14,4.65,IR,1724025189
18,tiksi,71.6872,128.8694,13.5,77,6,3.67,RU,1724025191
19,thompson,55.7435,-97.8558,20.09,60,75,4.12,CA,1724025192
20,puerto ayora,-0.7393,-90.3518,20.31,87,54,2.24,EC,1724025193
21,crane,31.3974,-102.3501,36.83,21,1,6.15,US,1724025194
22,hawaiian paradise park,19.5933,-154.9731,29.85,79,75,4.12,US,1724025195
23,zuera,41.8677,-0.7898,20.05,63,8,9.44,ES,1724025197
24,college,64.8569,-147.8028,23.99,60,75,4.12,US,1724025198
25,lihue,21.9789,-159.3672,27.98,83,100,5.66,US,1724025199
26,buka,40.8108,69.1986,19.39,44,19,2.76,UZ,1724025200
27,puerto natales,-51.7236,-72.4875,1.35,94,28,2.29,CL,1724025201
28,udachny,66.4167,112.4,16.88,62,89,3.18,RU,1724025202
29,dawesville,30.9224,-84.0091,33.23,64,0,4.63,US,1724025204
30,obihiro,42.9172,143.2044,22.23,83,75,0.51,JP,1724025205
31,dryden,49.7833,-92.7503,24.16,43,20,1.54,CA,1724025206
32,minas de marcona,-15.2119,-75.1103,11.14,87,21,4.98,PE,1724025207
33,idri,27.5,13.2667,33.7,18,11,1.7,LY,1724025208
34,atafu village,-8.5421,-172.5159,28.06,78,5,9.35,TK,1724025209
35,westport,41.1415,-73.3579,24.2,93,100,2.57,US,1724025211
36,invercargill,-46.4,168.35,3.9,72,96,7.15,NZ,1724025212
37,bilibino,68.0546,166.4372,4.53,97,100,1.91,RU,1724025213
38,luebo,-5.35,21.4167,23.1,41,4,0.89,CD,1724025214
39,hermanus,-34.4187,19.2345,8.22,83,62,2.71,ZA,1724025215
40,tolanaro,-25.0319,46.9987,18.94,72,38,5.48,MG,1724025216
41,isafjordur,66.0755,-23.124,2.39,80,77,3.11,IS,1724025218
42,kenai,60.5544,-151.2583,18.05,89,75,8.75,US,1724025220
43,anadyr,64.75,177.4833,9.28,66,20,5.0,RU,1724025221
44,shingu,33.7333,135.9833,26.64,89,100,2.02,JP,1724025222
45,shortandy,51.7006,70.9994,12.83,85,96,3.52,KZ,1724025223
46,codrington,-38.2667,141.9667,12.47,78,86,3.52,AU,1724025225
47,wainwright,52.839,-110.8572,27.54,32,25,2.83,CA,1724025226
48,marshfield,44.6689,-90.1718,23.02,64,0,3.6,US,1724025227
49,holualoa,19.6228,-155.9522,27.53,83,75,5.14,US,1724025229
50,dawson creek,55.7666,-120.2362,21.8,35,20,2.57,CA,1724025231
51,tsiombe,-25.3,45.4833,16.53,73,0,2.76,MG,1724025232
52,isangel,-19.55,169.2667,26.06,83,100,0.0,VU,1724025233
53,blackmans bay,-43.0167,147.3167,6.96,78,28,0.64,AU,1724025234
54,island harbour,50.724,-1.2758,13.88,80,16,2.05,GB,1724025235
55,greenville,35.6127,-77.3663,29.97,72,0,3.6,US,1724024942
56,haapavesi,64.1333,25.3667,13.93,77,100,2.02,FI,1724025238
57,papatowai,-46.5619,169.4708,1.77,79,100,10.5,NZ,1724025239
58,qarqaraly,49.4058,75.4742,11.84,58,57,3.53,KZ,1724025240
59,chonchi,-42.6128,-73.8092,7.29,86,39,1.74,CL,1724025241
